"link","date","content"
"http://twitter.com/nastachku/statuses/321556001939677184","2013-04-09","Нина Калаус (Магвай)magwai.ru расскажет #nastachku как региональной веб-студии заполучить в портфолио крупные бренды.Нина Калаус (Магвай)magwai.ru расскажет #nastachku как региональной веб-студии заполучить в портфолио крупные бренды.оригинал сохранённая копиявчера, 13:31nastachkuв избранноеретвитответить"
"http://twitter.com/lisovskyvlad/statuses/321554427083362305","2013-04-09","#nastachku столько классных докладов и многие идут параллельно, не могу выбрать куда пойти :)#nastachku столько классных докладов и многие идут параллельно, не могу выбрать куда пойти :)оригинал сохранённая копиявчера, 13:25lisovskyvladв избранноеретвитответить"
"http://twitter.com/plugin73/statuses/321534263612805120","2013-04-09","Иду на доклад 'Tarantool: хранение данных на диске' nastachku.ru/lectures?works... #nastachkuИду на доклад 'Tarantool: хранение данных на диске' nastachku.ru/lectures?works... #nastachkuоригинал сохранённая копиявчера, 12:05plugin73в избранноеретвитответить"
"http://twitter.com/nastachku/statuses/321527751796473856","2013-04-09","Владимир Верховский (e-legion.ru) Доклад: Mobile vs Web. В чём разница для заказчика? Узнаем nastachku.ru  #nastachkuВладимир Верховский (e-legion.ru) Доклад: Mobile vs Web. В чём разница для заказчика? Узнаем nastachku.ru  #nastachkuоригинал сохранённая копиявчера, 11:39nastachkuв избранноеретвитответить"
"http://twitter.com/nastachku/statuses/321527569184870400","2013-04-09","Владимир Верховский (e-legion.ru) Доклад: Mobile vs Web. В чём разница для заказчика? Узнаем nastachku.ru #nastachku #ulskВладимир Верховский (e-legion.ru) Доклад: Mobile vs Web. В чём разница для заказчика? Узнаем nastachku.ru #nastachku #ulskоригинал сохранённая копиявчера, 11:38nastachkuв избранноеретвитответить"
"http://twitter.com/Alinka_Kalinka/statuses/321525291719749632","2013-04-09","Иду на доклад 'Scrum. Почему Ретроспектива умирает первой.' nastachku.ru/lectures?works... #nastachkuИду на доклад 'Scrum. Почему Ретроспектива умирает первой.' nastachku.ru/lectures?works... #nastachkuоригинал сохранённая копиявчера, 11:29alinka_kalinkaв избранноеретвитответить"
"http://twitter.com/kortunov/statuses/321522224148410370","2013-04-09","А кто из Самары едет #nastachku? На чем вы едите и где живете?А кто из Самары едет #nastachku? На чем вы едите и где живете?оригинал сохранённая копиявчера, 11:17kortunovв избранноеретвитответить"
"http://twitter.com/vdv73rus/statuses/321510506156396544","2013-04-09","Классная подборка на «Яндекс.Музыке» — песни о космосе. Ко дню космонавтики. Слушаю сегодня, ибо в саму дата Стачка! #nastachkuКлассная подборка на «Яндекс.Музыке» — песни о космосе. Ко дню космонавтики. Слушаю сегодня, ибо в саму дата Стачка! #nastachkuоригинал сохранённая копиявчера, 10:30vdv73rusв избранноеретвитответить"
"http://twitter.com/Mei_Li_Kitten/statuses/321506092096057344","2013-04-09","@mokevnin @nastachku спасибо. а то сам негодую@mokevnin @nastachku спасибо. а то сам негодуюоригинал сохранённая копиявчера, 10:13mei_li_kittenв избранноеретвитответить"
"http://twitter.com/mokevnin/statuses/321505448391999488","2013-04-09","@Mei_Li_Kitten @nastachku он самый.@Mei_Li_Kitten @nastachku он самый.оригинал сохранённая копиявчера, 10:10mokevninв избранноеретвитответить"
