link,date,content
http://twitter.com/nastachku/statuses/321225314963423233,2013-04-08,"Анна Казакова@AnnetKazakova (cm-lab.ru) откроет #nastachku секрет-как привлечь клиента,если он больше не хочет видеть рекламу."
http://twitter.com/alexnosov/statuses/321221135851200512,2013-04-08,"Летайте авиакомпанией «Полёт» #nastachku! Отменили рейс Москва-Ульяновск, теперь куча гемороя!"
http://twitter.com/zzetorg/statuses/321185164644458496,2013-04-08,Присединился к участникам афтепати #nastachku :)
http://twitter.com/alexnosov/statuses/321183154968883200,2013-04-08,@nastachku Офигенная аудитория для наших выступлений собирается #nastachku!
http://twitter.com/nastachku/statuses/321178394047942656,2013-04-08,"Бьем рекорды! Нас 2500! До конференции меньше недели, не упусти последний шанс попасть в список участников nastachku.ru/users/new #nastachku"
http://twitter.com/mokevnin/statuses/321171651284836352,2013-04-08,"Выступаю #nastachku с докладом ""Ментальное программирование"". Голосуем товарищи). nastachku.ru/schedule#conf-..."
http://twitter.com/nastachku/statuses/321164594561306626,2013-04-08,Дмитрий Коробицын@kdk_ru (Поставщик счастья)расскажет о бизнес-моделях и зонах внимания руководителя интернет-магазина #nastachku #ulsk
http://vk.com/wall-36051360_183,2013-04-08,Дмитрий Коробицын (Поставщик счастья)<br><br>Секция: Электронная коммерция<br ... показать полный текст
http://twitter.com/divanoblomova1/statuses/321137250060615682,2013-04-08,"О, полпред Путина в ПФО Михаил Бабич IT-форумом @nastachku заинтересовался. Хочет посетить."
http://twitter.com/KSayganov/statuses/321132040143642624,2013-04-08,#nastachku проходит в учебное время! Как же вы не подумали о бедных школьниках:(
http://twitter.com/vdv73rus/statuses/321130512515227649,2013-04-08,"Мой доклад «Front-End Trends» на конференции #nastachku 12.04, 11:00, Ленинский мемориал, зал Октябрьский. Велкам! pic.twitter.com/gvQW3MUBWE"
http://vk.com/wall-42842421_329,2013-04-08,"Добрейшего всем утра, друзья и коллеги!<br>Официально заявляем, что на этой ... показать полный текст  Можете смело заезжать к нам на кофе хоть в три часа ночи, у нас очень много работы по организации http://nastachku.ru"
http://twitter.com/buxler/statuses/321031198463889408,2013-04-08,Обновили программу #nastachku nastachku.ru/schedule
http://twitter.com/avasenin/statuses/320935923514753025,2013-04-07,#ulsk опять медиа столица totaldict.ru/news/383/ Не пускайте Морозова #nastachku.
http://twitter.com/kortunov/statuses/320920229922340864,2013-04-07,Хочу поехать #nastachku в Ульяновск. Подскажите хорошую гостиницу!
http://twitter.com/SunTechniX/statuses/320905032369311744,2013-04-07,"@levwalkin @nastachku ""Будущее без сайтов"" забыл пометить... :)"
http://twitter.com/noblerussian/statuses/320862421780684800,2013-04-07,@levwalkin @nastachku За Windows Azure точно заблокируют.
http://twitter.com/ulmonitor/statuses/320840809731743744,2013-04-07,А ты зарегился @nastachku? По словам организаторов #ulsk уже 2500 участников со всей России ul-people.ru/monitor
http://twitter.com/thedmitryefimov/statuses/320794710652366848,2013-04-07,"#nastachku известна программа докладов, столько хороших докладов будет идти одновременно... сложные выбор"
http://twitter.com/Jay7t/statuses/320787890718257152,2013-04-07,Доклад про «долгоиграющие» БД #postgresql приняли на #nastachku #ulsk! Выступаю 13 апреля в 11:20 в «Кинобаре». Пойду делать презентацию :)
http://twitter.com/AlexTachalova/statuses/320599053677236225,2013-04-06,Выступаю на #nastachku 12 апреля. Контент - всему голова:)
http://twitter.com/kristy_ochkina/statuses/320554746924642305,2013-04-06,"@KELiON ты едешь, Саш? nastachku.ru #ulsk #nastachku"
http://twitter.com/alexnosov/statuses/320256359566282752,2013-04-05,На следующей неделе едем в Ульяновск #nastachku выступать. Программа уже сформирована — nastachku.ru/schedule
http://twitter.com/UshakovIvan/statuses/320192152040783872,2013-04-05,@graff_z я в Самаре буду:-) #nastachku приедите?:-)
http://twitter.com/nastachku/statuses/320181968639758339,2013-04-05,"Вот и настало время подведения итогов в секции ""Доклады 2.0""! Голосование закрыто, ждем результатов. #nastachku #ulsk"
http://vk.com/wall-36051360_182,2013-04-05,"Вот и настало время подведения итогов в секции ""Доклады 2.0""! Голосование ... показать полный текст  nastachku #ulsk"
http://twitter.com/Olga_Shustova/statuses/320124310570295297,2013-04-05,На следующей неделе еду #nastachku в Ульяновск:)
http://twitter.com/nastachku/statuses/320107533840809985,2013-04-05,Дмитрий Буталов (Yord Apps)Доклад: Глобальная партизанская война. Маркетинг indie приложений nastachku.ru #nastachku #ulsk
http://vk.com/wall-36051360_181,2013-04-05,Дмитрий Буталов (Yord Apps)<br><br>Секция: Мобильные приложения<br><br>Доклад ... показать полный текст
http://twitter.com/nastachku/statuses/320077144728403968,2013-04-05,Сергей Егорушкин(digly.ru) расскажет об ошибках в электронной торговле и как не быть как все.nastachku.ru #nastachku
http://twitter.com/MST_Digital/statuses/320068737497718784,2013-04-05,"Все три доклада MST в программе 2.0 на ""Стачке"" - Николай Фетюхин, Павел Мищенко, Евгения Корчагина #nastachku nastachku.ru/user_lectures"
http://twitter.com/MST_Digital/statuses/320067891494014976,2013-04-05,До 12.00 голосуем за доклад нашей Евгении Корчагиной о бесплат.интернет-рекламе: bit.ly/12mjpie  #nastachku nastachku.ru/user_lectures
http://vk.com/wall16804296_5381,2013-04-05,Новости по ИТ-конференции Стачка-2013.<br><br>Добрый день!<br>Вы наверняка ... показать полный текст  Смирнов Андрей (руководитель команды разработки Skype)—
http://twitter.com/UlyanovskUI/statuses/319886697372471296,2013-04-04,Более 60 докладчиков для более 2000 участников из более 40 городов в помещении с арендой более 700000 руб. nastachku.ru/users/new
http://twitter.com/anneta_i/statuses/319882038041796608,2013-04-04,Мне нравится конференция СТАЧКА - 2013! nastachku.ru #nastachku с помощью @nastachku
http://twitter.com/vin_veg/statuses/319869459525419009,2013-04-04,"Призываю всех голосовать за мой доклад на ""Стачке"": Дзюба Артём ""Общее дело. Геоинформатика."" nastachku.ru/user_lectures Все на стачку!"
http://twitter.com/SunTechniX/statuses/319853720370311168,2013-04-04,"@vdv73rus думаю, что прямо после ""Стачки"" #nastachku"
http://twitter.com/nastachku/statuses/319799827330371585,2013-04-04,Антон Кортунов (#Яндекс) Доклад: Big data: realtime хранилище данных nastachku.ru #nastachku #ulsk
http://twitter.com/MST_Digital/statuses/319795028190953472,2013-04-04,"Друзья,помогите познакомить #nastachku с мега докладом @GEN_DIR: голосуйте nastachku.ru/user_lectures (шестой в списке)  bit.ly/XRkI6e"
http://twitter.com/subzey/statuses/319794926856568833,2013-04-04,На следующей неделе отбываю #nastachku в Ульяновск
http://vk.com/wall-40846637_295,2013-04-04,"Друзья, мы очень хотим, чтобы все гости всероссийской «Стачки» услышали мега ... показать полный текст  Зачем нужны key visul и прототип?—"
http://twitter.com/GEN_DIR/statuses/319761169810325507,2013-04-04,"Обновил тезисы nastachku.ru/user_lectures в своем докладе:) Не стесняемся, регестрируемся и голосуем:) fb.me/2NrDOKmpC"
http://twitter.com/subzey/statuses/319760287270043648,2013-04-04,"nastachku.ru/schedule — чудесная табличка-расписание. Ни распечатать по-человечески, ни в эксель скопировать. Зачем верстать таблы дивами?"
http://twitter.com/nastachku/statuses/319730268699250688,2013-04-04,Вадим Крючков (#Сотмаркет) откроет Самый Большой Секрет управления распределенной командой и расскажет о рисках удаленной работы.#nastachku
http://twitter.com/Alinka_Kalinka/statuses/319722536852152322,2013-04-04,а вот и программа   nastachku.ru/schedule #nastachku #ulsk #conf #stachka
http://vk.com/wall-49664834_8,2013-04-04,"На следующих выходных, 12-13 апреля в Ульяновске пройдет масштабное IT ... показать полный текст  http://nastachku.ru/"
http://twitter.com/avasenin/statuses/319711680445689856,2013-04-04,В этом году #nastachku походу уделывает #codefest. Будет ли web трансляция? #ulsk #походуяживунетам
